Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,City_Bangalore,City_Chennai,City_Delhi,City_Hyderabad,City_Mumbai,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m
01/01/18,68,37.4,73.44,56.44,77.52,0.71,64.6,1,0,0,0,0,21.6085,60.279141,12.72725,21.94028858,0,0,0,0,1010.808333,909.5282704,32.1750014,5.25,23.16666667,45.16666667,5.768655521,8.787552792,163.3982329,186.081886,14.48999979
02/01/18,76,41.8,82.08,63.08,86.64,0.8,72.2,1,0,0,0,0,21.69391667,64.32855079,13.48558333,21.79762567,0,0,0,0,1011.1125,909.8291342,39.420834,13.16666667,16.54166667,66.375,9.031866729,14.97711075,164.0457245,170.7966225,19.8749994
03/01/18,70,38.5,75.6,58.1,79.8,0.74,66.5,1,0,0,0,0,22.08141667,61.17593196,13.56891667,22.08217442,0,0,0,0,1012.895833,911.5671179,49.00416725,17.375,55.58333333,4.5,9.010355875,13.40025899,119.1570091,118.3877664,19.54499945
04/01/18,78,42.9,84.24,64.74,88.92,0.82,74.1,1,0,0,0,0,20.78766667,63.93373592,12.58141667,20.31228254,0,0,0,0,1013.625,911.7935017,29.42500025,9.625,16.20833333,36.79166667,10.9181728,18.23910469,82.37560046,83.25107425,22.61999967
05/01/18,82,45.1,88.56,68.06,93.48,0.86,77.9,1,0,0,0,0,19.62516667,58.66117096,10.346,18.7263955,0,0,0,0,1012.395833,910.3072483,1.825000021,0.125,1.416666667,2.875,9.160003863,16.49423863,79.37308042,81.56030521,19.88999977
06/01/18,90,49.5,97.2,74.7,102.6,0.95,85.5,1,0,0,0,0,19.63975,58.78995063,10.5335,19.07458375,0,0,0,0,1012.416667,910.3330338,11.11250006,5.791666667,9.833333333,0,7.274180113,13.04358952,89.331616,89.97725633,17.05499964
07/01/18,91,50.05,98.28,75.53,103.74,0.96,86.45,1,0,0,0,0,19.66475,57.14575342,10.05433332,18.65905592,0,0,0,0,1012.891667,910.7674046,17.30000066,2.541666667,13.16666667,23.70833333,9.173807858,16.43309224,67.74641442,70.46571492,19.49999942
08/01/18,82,45.1,88.56,68.06,93.48,0.86,77.9,1,0,0,0,0,19.43766667,59.30466346,9.954333321,17.69906246,0,0,0,0,1014.141667,911.8169763,16.28750047,4.333333333,0.583333333,40.125,14.25600531,23.36711888,83.96387517,85.04887767,28.10999954
09/01/18,76,41.8,82.08,63.08,86.64,0.8,72.2,1,0,0,0,0,20.80016667,64.68171658,13.14391667,19.78516475,0,0,0,0,1015.333333,913.3403633,56.27083342,40.70833333,52.375,11.66666667,15.20159725,23.02399329,85.92938408,85.92037625,29.35499933
10/01/18,76,41.8,82.08,63.08,86.64,0.8,72.2,1,0,0,0,0,20.91683333,72.13425258,15.30849996,20.56058513,0.004166667,0.004166667,0,0,1016.279167,914.2363438,71.63333308,59.29166667,23.66666667,36.04166667,14.92023767,23.02794242,94.73516921,94.69448167,28.99499963
11/01/18,75,41.25,81,62.25,85.5,0.79,71.25,1,0,0,0,0,22.09391667,72.51988708,16.31683329,22.44489063,0.004166667,0.004166667,0,0,1015.3625,913.7850767,42.30833304,31.83333333,10.625,32.5,13.13348867,21.33031479,100.4938016,102.3319013,25.6799995
12/01/18,81,44.55,87.48,67.23,92.34,0.85,76.95,1,0,0,0,0,22.35016667,65.80713517,14.88766667,22.24424858,0,0,0,0,1014.8,913.3612521,38.24166746,10.04166667,20.75,56,12.69664204,21.21377783,95.78134042,98.24829954,24.88499917
13/01/18,86,47.3,92.88,71.38,98.04,0.9,81.7,1,0,0,0,0,21.86891663,57.27525238,11.38141665,20.81099869,0,0,0,0,1014.154167,912.6121521,9.900000333,0.375,0,31.875,12.65923627,22.50874796,97.81594946,101.4677504,24.56999925
14/01/18,96,52.8,103.68,79.68,109.44,1.01,91.2,1,0,0,0,0,21.60225,59.58800929,11.02099998,20.39340623,0,0,0,0,1015.020833,913.3067975,11.84999971,8.458333333,0,14.125,13.56860154,23.43878613,91.77485733,92.78395429,26.59499921
15/01/18,93,51.15,100.44,77.19,106.02,0.98,88.35,1,0,0,0,0,22.03558333,58.00644825,11.82933333,21.04927581,0,0,0,0,1014.375,912.8687413,2.462500096,0.125,0.833333333,6.166666667,13.05170398,22.67624492,98.70949254,100.9680988,25.69499967
16/01/18,88,48.4,95.04,73.04,100.32,0.92,83.6,1,0,0,0,0,21.67933329,63.2061935,13.0085,21.38009304,0,0,0,0,1013.5375,912.00163,47.37916771,11.66666667,21.20833333,82.41666667,10.33662695,18.0621424,70.406861,70.97433729,21.58499965
17/01/18,95,52.25,102.6,78.85,108.3,1,90.25,1,0,0,0,0,20.85641667,56.85853108,10.68141664,19.79449771,0,0,0,0,1013.841667,912.0087708,24.72500108,4.166666667,3.541666667,62.83333333,11.02181353,19.29216023,78.09053779,79.1139945,22.82999938
18/01/18,101,55.55,109.08,83.83,115.14,1.06,95.95,1,0,0,0,0,19.97516667,53.804891,8.568916642,17.87180242,0,0,0,0,1014.104167,911.9532367,18.18750046,0,0,60.625,14.3464409,24.60455475,76.42321283,78.83442408,28.0649995
19/01/18,100,55,108,83,114,1.05,95,1,0,0,0,0,19.51266667,55.48267671,8.383499975,17.63444023,0,0,0,0,1014.541667,912.1947421,9.900000438,0.041666667,0,32.875,12.81168821,22.28539304,85.50922033,87.722037,25.21499954
20/01/18,103,56.65,111.24,85.49,117.42,1.08,97.85,1,0,0,0,0,19.2585,56.80065517,8.802249975,17.78434446,0,0,0,0,1013.966667,911.5953608,19.10000025,0.041666667,0,63.54166667,10.71226094,19.12598129,81.194551,84.17906567,22.04999979
21/01/18,98,53.9,105.84,81.34,111.72,1.03,93.1,1,0,0,0,0,19.35641667,58.80702604,9.458499988,17.8375291,0,0,0,0,1012.7625,910.5430929,13.43750009,5.916666667,0,27.04166667,12.12018379,21.08967094,87.8585915,89.98716904,24.34499958
22/01/18,90,49.5,97.2,74.7,102.6,0.95,85.5,1,0,0,0,0,19.91683329,63.62816175,11.58766667,19.15022577,0,0,0,0,1012.229167,910.2523679,26.31249942,25.75,0,10.45833333,11.38240042,18.52153139,110.3839137,111.6412797,23.98499971
23/01/18,98,53.9,105.84,81.34,111.72,1.03,93.1,1,0,0,0,0,21.31058333,64.77482121,13.54808333,21.56757054,0,0,0,0,1011.420833,909.9810488,23.61250025,9.833333333,20.04166667,9.125,8.276811925,13.99528896,158.1798715,164.3584123,19.04999992
24/01/18,101,55.55,109.08,83.83,115.14,1.06,95.95,1,0,0,0,0,21.98975,61.52601758,12.95641667,22.03801092,0,0,0,0,1011.179167,909.9809233,30.27500047,11.375,28.5,9.791666667,8.073041725,14.21923003,138.3878909,157.915854,18.52499975
25/01/18,96,52.8,103.68,79.68,109.44,1.01,91.2,1,0,0,0,0,21.51266667,56.37808242,11.53558333,20.9749395,0,0,0,0,1010.875,909.55474,9.862500083,3.791666667,5.125,11.25,9.342766108,17.08493984,69.72042188,71.86380138,19.76999946
26/01/18,92,50.6,99.36,76.36,104.88,0.97,87.4,1,0,0,0,0,20.98558333,51.99612504,9.873083321,19.81040871,0,0,0,0,1011.816667,910.2313575,23.02500054,1.208333333,1.583333333,69.95833333,10.49206115,18.63068388,89.94077067,91.26508579,21.83999981
27/01/18,94,51.7,101.52,78.02,107.16,0.99,89.3,1,0,0,0,0,20.821,57.75353979,11.31683333,20.22228708,0,0,0,0,1012.2875,910.5999825,10.83750025,1.541666667,4.416666667,22.66666667,9.42099635,16.52418549,93.76400708,95.83521413,20.59499948
28/01/18,105,57.75,113.4,87.15,119.7,1.1,99.75,1,0,0,0,0,20.73974996,55.72207188,10.5835,19.43327138,0,0,0,0,1013.1375,911.3367225,9.125000375,0,1.375,27.66666667,12.59150302,21.34473813,77.76234371,79.02429129,25.10999917
29/01/18,86,47.3,92.88,71.38,98.04,0.9,81.7,1,0,0,0,0,20.93766667,60.17265342,11.97516667,19.69020483,0,0,0,0,1014.254167,912.4049329,11.82500033,0.166666667,0,38.91666667,15.06910188,24.70057625,86.41444,87.17893092,29.29499933
30/01/18,96,52.8,103.68,79.68,109.44,1.01,91.2,1,0,0,0,0,20.49183329,58.25318154,10.88975,19.23677833,0,0,0,0,1014.420833,912.4082875,0.737500008,0.25,0,1.708333333,13.02590342,22.386252,78.97874608,80.46485513,25.8149995
31/01/18,96,52.8,103.68,79.68,109.44,1.01,91.2,1,0,0,0,0,20.23975,51.74597317,8.587666679,18.551025,0,0,0,0,1015.104167,912.9391475,0,0,0,0,11.91039694,21.35670748,80.99580129,82.79390721,23.95499954
01/02/18,89,48.95,96.12,73.87,101.46,0.93,84.55,1,0,0,0,0,20.59183333,38.97227667,4.356416638,17.89505385,0,0,0,0,1014.454167,912.4677092,0.425000008,0,0.708333333,0,12.25849381,22.61877263,88.64458879,91.96007188,24.11999952
02/02/18,89,48.95,96.12,73.87,101.46,0.93,84.55,1,0,0,0,0,20.83141663,40.75359704,5.716833296,18.26460944,0,0,0,0,1013.533333,911.7177471,0,0,0,0,13.09279171,23.4101975,94.460309,97.35447867,25.40999954
03/02/18,78,42.9,84.24,64.74,88.92,0.82,74.1,1,0,0,0,0,19.73558333,45.21268471,5.418916618,17.16368942,0,0,0,0,1014.170833,911.9357125,0,0,0,0,13.24332646,23.26268683,91.56392767,94.42192108,26.05499971
04/02/18,80,44,86.4,66.4,91.2,0.84,76,1,0,0,0,0,19.60433333,46.50799633,4.681416663,17.12508175,0,0,0,0,1014.395833,912.0908746,8.737500213,0,0,29.125,12.30549579,21.99500646,80.36797042,82.24344846,24.46499938
05/02/18,69,37.95,74.52,57.27,78.66,0.72,65.55,1,0,0,0,0,20.51891667,53.46509667,8.056416658,18.81225783,0,0,0,0,1015.525,913.4078658,9.425000533,0.5,10.29166667,9.333333333,12.56905654,21.39761956,92.52862696,95.50423142,24.86999933
06/02/18,82,45.1,88.56,68.06,93.48,0.86,77.9,1,0,0,0,0,22.746,65.95131529,14.99183333,23.13287625,0,0,0,0,1014.770833,913.4574138,27.2291665,18.08333333,11.33333333,15.70833333,11.4609431,18.37849833,118.8799014,121.7226123,23.74499942
07/02/18,74,40.7,79.92,61.42,84.36,0.78,70.3,1,0,0,0,0,22.47516667,74.6585545,17.30641667,24.25234454,0.05,0.05,0,0,1014.4,913.0456338,60.84166692,19.5,30.70833333,83.33333333,6.920294775,11.54676139,137.5572,135.7441732,16.28999935
08/02/18,68,37.4,73.44,56.44,77.52,0.71,64.6,1,0,0,0,0,22.50433333,68.821925,16.01266667,23.72336792,0.054166667,0.054166667,0,0,1013.375,912.1336413,48.74166713,15.33333333,43.75,32.16666667,7.053276792,11.56862945,121.563749,129.2807284,16.15499948
09/02/18,92,50.6,99.36,76.36,104.88,0.97,87.4,1,0,0,0,0,22.85641667,70.53137613,16.65849996,24.533989,0.208333333,0.208333333,0,0,1013.0625,911.9634196,41.10000043,12,24.66666667,51.66666667,5.792559796,10.34524834,161.3012278,154.2976871,15.13499958
10/02/18,84,46.2,90.72,69.72,95.76,0.88,79.8,1,0,0,0,0,22.66891667,67.0346595,15.52516667,23.26454896,0.125,0.125,0,0,1014.316667,913.0312233,37.8375005,10.70833333,27.33333333,39.33333333,9.809034113,16.87495567,112.7391157,117.9682362,21.37499913
11/02/18,88,48.4,95.04,73.04,100.32,0.92,83.6,1,0,0,0,0,22.51266667,63.55314604,14.23975,22.16053563,0,0,0,0,1015.0125,913.60246,32.68333408,14.20833333,0.958333333,69.54166667,14.22475529,22.57073892,119.2765298,120.300661,28.03499921
12/02/18,72,39.6,77.76,59.76,82.08,0.76,68.4,1,0,0,0,0,21.94183333,66.34687529,14.51891667,22.12542504,0,0,0,0,1016.6625,914.9042883,35.47500046,9.541666667,0.625,88.375,11.50073533,18.7694634,107.3857891,108.6791819,23.65499942
13/02/18,75,41.25,81,62.25,85.5,0.79,71.25,1,0,0,0,0,21.99808333,61.61027175,12.80641667,21.60515408,0,0,0,0,1017.7125,915.8637658,42.15416754,14.83333333,1.25,95.66666667,11.80663825,19.06472125,100.937,101.4784643,24.67499954
14/02/18,83,45.65,89.64,68.89,94.62,0.87,78.85,1,0,0,0,0,22.19183333,66.99014779,14.86266667,22.09424821,0,0,0,0,1018.020833,916.2069958,37.42083392,18.70833333,5.875,61.04166667,14.46873694,22.41489558,94.65185325,94.88699979,28.72499963
15/02/18,75,41.25,81,62.25,85.5,0.79,71.25,1,0,0,0,0,21.93975,64.98707238,14.13558333,21.50630808,0,0,0,0,1018.154167,916.2428433,26.22500031,7.958333333,0.833333333,61.875,14.48124692,23.80175033,94.90059546,94.82584733,28.37999913
16/02/18,73,40.15,78.84,60.59,83.22,0.77,69.35,1,0,0,0,0,21.771,45.40294483,7.473083333,19.96303775,0,0,0,0,1016.379167,914.5844025,16.93750063,0.041666667,0,56.33333333,11.2633111,19.86830788,77.29267354,81.25690479,22.69499946
17/02/18,82,45.1,88.56,68.06,93.48,0.86,77.9,1,0,0,0,0,22.2085,53.14565763,10.28558331,21.47977596,0,0,0,0,1013.15,911.8193167,7.200000171,0.083333333,0,23.75,9.223989646,17.03627183,68.66744054,72.06822442,19.9499995
18/02/18,87,47.85,93.96,72.21,99.18,0.91,82.65,1,0,0,0,0,22.27308333,51.3665705,9.362666642,20.91257792,0,0,0,0,1012.620833,911.3622075,7.975000317,0.291666667,0,25.70833333,12.31821075,21.68784067,99.33911279,101.0830603,24.53999954
19/02/18,79,43.45,85.32,65.57,90.06,0.83,75.05,1,0,0,0,0,22.29183333,48.98746446,7.827249991,20.52895771,0,0,0,0,1013.079167,911.7796242,0,0,0,0,12.96008796,22.469953,94.40853125,96.00399375,25.94999958
20/02/18,79,43.45,85.32,65.57,90.06,0.83,75.05,1,0,0,0,0,22.72308333,47.65707129,9.196,21.01609879,0,0,0,0,1012.583333,911.4741013,1.650000042,0.125,0,5.125,13.73978856,23.24910921,73.26563475,74.53014646,27.37499971
21/02/18,84,46.2,90.72,69.72,95.76,0.88,79.8,1,0,0,0,0,22.83141667,40.04007642,6.506416646,20.27412175,0,0,0,0,1011.833333,910.8363025,6.000000229,0,0,20,15.09821479,25.670889,86.24323642,87.55075296,29.44499925
22/02/18,89,48.95,96.12,73.87,101.46,0.93,84.55,1,0,0,0,0,23.16266667,37.72344504,6.325166638,20.48215463,0,0,0,0,1011.545833,910.6830383,4.800000125,0,0,16,15.44851188,25.97399654,83.84008671,85.72658325,30.2249995
23/02/18,78,42.9,84.24,64.74,88.92,0.82,74.1,1,0,0,0,0,22.221,40.87506846,6.004333279,19.53160442,0,0,0,0,1012.391667,911.1394108,0.075,0.083333333,0,0,15.16829598,25.79571142,89.43916467,91.36009063,29.7749995
24/02/18,79,43.45,85.32,65.57,90.06,0.83,75.05,1,0,0,0,0,21.83558333,57.02619996,10.93975,20.70212567,0,0,0,0,1014.116667,912.5680388,12.3749997,13.75,0,0,13.6382294,22.42089354,103.0316941,104.5460563,27.17999954
